ticker,side,entry,exit,days,return
AAPL,LONG,2020-01-28,2020-01-28,1,0.0
AAPL,SHORT,2020-01-29,2020-01-31,3,0.04572358247428743
AAPL,LONG,2020-02-03,2020-02-04,2,0.03301367951955725
AAPL,SHORT,2020-02-05,2020-02-18,14,0.007621751793411957
AAPL,LONG,2020-02-19,2020-02-19,1,0.0
AAPL,SHORT,2020-02-20,2020-02-21,2,0.02263503052234317
AAPL,LONG,2020-02-24,2020-03-02,8,0.002112834188367385
AAPL,SHORT,2020-03-03,2020-03-05,3,-0.012442990503181317
AAPL,SHORT,2020-03-06,2020-03-13,8,0.03826591566724935
AAPL,SHORT,2020-03-16,2020-03-16,1,-0.0
AAPL,SHORT,2020-03-17,2020-03-24,8,0.023649433335065195
AAPL,SHORT,2020-03-25,2020-03-27,3,-0.009042038050144141
AAPL,SHORT,2020-03-30,2020-03-30,1,-0.0
AAPL,SHORT,2020-03-31,2020-03-31,1,-0.0
AAPL,SHORT,2020-04-01,2020-04-06,6,-0.08949399041491413
AAPL,SHORT,2020-04-07,2020-04-17,11,-0.09008208679400376
AAPL,SHORT,2020-04-20,2020-06-11,53,-0.2129419087146074
AAPL,LONG,2020-06-12,2020-06-12,1,0.0
AAPL,SHORT,2020-06-15,2020-06-26,12,-0.031021356166011982
AAPL,LONG,2020-06-29,2020-06-29,1,0.0
AAPL,SHORT,2020-06-30,2020-07-23,24,-0.01803732815248349
AAPL,LONG,2020-07-24,2020-07-27,4,0.023700261787544585
AAPL,SHORT,2020-07-28,2020-07-28,1,-0.0
AAPL,LONG,2020-07-29,2020-07-29,1,0.0
AAPL,SHORT,2020-07-30,2020-07-30,1,-0.0
MSFT,LONG,2020-01-27,2020-01-28,2,0.019595809455823066
MSFT,SHORT,2020-01-29,2020-02-13,16,-0.09325169039403614
MSFT,LONG,2020-02-14,2020-02-14,1,0.0
MSFT,SHORT,2020-02-18,2020-02-21,4,0.04614644868240847
MSFT,LONG,2020-02-24,2020-03-02,8,0.011118227533913005
MSFT,SHORT,2020-03-03,2020-03-03,1,-0.0
MSFT,SHORT,2020-03-04,2020-03-04,1,-0.0
MSFT,SHORT,2020-03-05,2020-03-05,1,-0.0
MSFT,SHORT,2020-03-06,2020-03-13,8,0.016958627028256235
MSFT,SHORT,2020-03-16,2020-03-16,1,-0.0
MSFT,SHORT,2020-03-17,2020-03-24,8,-0.012076065533356939
